place_id,name,lat,lng,address,rating,user_ratings_total,types
ChIJ3VKIaH8m_ToRZBV4Ua3SrJg,Cargills Food City Express Anamaduwa,7.8792548,80.0095479,"V2H5+JPV, No 106, Puttalama Road, Katugastota-Kurunegala-Puttalam Hwy, Anamaduwa",4.0,175.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJQbSO7mzb_DoR1y2fXIVlm9o,Cargills Foodcity express - Ambanpola,7.918425699999999,80.2399182,"5 Kurunegala Road, Ambanpola",4.2,57.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJ5TnDo9qX_DoRLxNw3vM_Rok,Cargills Food City Express Kakirawa,8.040511799999999,80.5967379,"No 15, Malawa Village,Central Road, Kekirawa",4.2,231.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJ3SS6FDbd_DoRW_wP66y7J1c,Cargills Food City (Express) - Galgamuwa,7.995601799999999,80.2700708,"37, Anuradhapura Road, Galgamuwa",4.1,243.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJX61IoIGW_DoR3Ft6ZMbsa9Y,Cargills Food City - Ipalogama (Ranajayapura),8.0719119,80.5464811,"Ranajayapura Road, Ipalogama",4.2,84.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJ2_-AfNyz_DoR0VH1AdHzKhY,Cargills Food City - Galewela,7.759345400000001,80.5709892,"No. 210, Kalawewa Junction, Galewala",4.1,408.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJZRIoMx_J_DoR_sPXpWvhfJI,Cargills food city Express Polpithigama,7.815238699999999,80.4043131,"RC73+WM9, Polpithigama",4.4,12.0,"grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJQRXXtaGl_DoRfECLc0vNKs4,Cargills Food City - Dambulla 2,7.871088299999998,80.6487002,"VJCX+CFP, Dambulla",4.4,670.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJJ0ibOz-l_DoRz0n1V382Qck,Cargills Food City - Dambulla 1,7.8782047,80.6503164,"643, Anuradhapura Road, Dambulla",4.1,1169.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJ0TF_ynqf_DoRv1crezAd6GI,Cargills Food City Express - Habarana,8.0390462,80.75486459999999,"72 Ambepussa - Trincomalee Hwy, Habarana",4.2,648.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJDdcqb_pd-zoRgnJuIUMhbtM,Cargills Food City Express - Jayanthipura,7.984494199999999,80.9668348,Maradankadawala-Habarana-Thirukkondaiadimadu Hwy,4.3,118.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
